director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title,comb
Ang Lee,Drama Romance,Alan Rickman,Kate Winslet,Tom Wilkinson,sense and sensibility,Alan Rickman Kate Winslet Tom Wilkinson Ang Lee Drama Romance
Julian Jarrold,Biography Drama Romance,Anne Hathaway,Julie Walters,Laurence Fox,becoming jane,Anne Hathaway Julie Walters Laurence Fox Julian Jarrold Biography Drama Romance
Joe Nussbaum,Comedy Romance,Danny Strong,Matt Long,Samm Levine,sydney white,Danny Strong Matt Long Samm Levine Joe Nussbaum Comedy Romance
Vadim Perelman,Drama,Frances Fisher,Kim Dickens,Ron Eldard,house of sand and fog,Frances Fisher Kim Dickens Ron Eldard Vadim Perelman Drama
Peter Weir,Comedy Drama,Robin Williams,Josh Charles,Kurtwood Smith,dead poets society,Robin Williams Josh Charles Kurtwood Smith Peter Weir Comedy Drama
Peter Farrelly,Comedy,Lauren Holly,Mike Starr,Teri Garr,dumb & dumber,Lauren Holly Mike Starr Teri Garr Peter Farrelly Comedy
Rob Reiner,Comedy Drama Romance,Bruno Kirby,Gretchen Palmer,Harley Jane Kozak,when harry met sally...,Bruno Kirby Gretchen Palmer Harley Jane Kozak Rob Reiner Comedy Drama Romance
Sidney Lumet,Drama,Charlotte Rampling,James Mason,Jack Warden,the verdict,Charlotte Rampling James Mason Jack Warden Sidney Lumet Drama
Todd Phillips,Comedy,Ethan Suplee,Rachel Blanchard,Paulo Costanzo,road trip,Ethan Suplee Rachel Blanchard Paulo Costanzo Todd Phillips Comedy
Brian Robbins,Comedy Drama Romance Sport,Paul Walker,Ron Lester,Mark Walters,varsity blues,Paul Walker Ron Lester Mark Walters Brian Robbins Comedy Drama Romance Sport
Michel Hazanavicius,Comedy Drama Romance,Bérénice Bejo,Ed Lauter,Beth Grant,the artist,Bérénice Bejo Ed Lauter Beth Grant Michel Hazanavicius Comedy Drama Romance
David S. Goyer,Drama Fantasy Horror Mystery Thriller,Gary Oldman,Atticus Shaffer,Rachel Brosnahan,the unborn,Gary Oldman Atticus Shaffer Rachel Brosnahan David S. Goyer Drama Fantasy Horror Mystery Thriller
Wes Anderson,Adventure Comedy Drama Romance,Bruce Willis,Bill Murray,Bob Balaban,moonrise kingdom,Bruce Willis Bill Murray Bob Balaban Wes Anderson Adventure Comedy Drama Romance
Jonathan Liebesman,Horror,Matt Bomer,Jordana Brewster,Lew Temple,the texas chainsaw massacre: the beginning,Matt Bomer Jordana Brewster Lew Temple Jonathan Liebesman Horror
Cyrus Nowrasteh,Drama,Clive Russell,Vincent Walsh,Finn Ireland,the young messiah,Clive Russell Vincent Walsh Finn Ireland Cyrus Nowrasteh Drama
Perry Andelin Blake,Comedy Family,Jennifer Esposito,Kenan Thompson,James Brolin,the master of disguise,Jennifer Esposito Kenan Thompson James Brolin Perry Andelin Blake Comedy Family
Guillermo del Toro,Drama Fantasy War,Ivana Baquero,Maribel Verdú,Sergi López,pan's labyrinth,Ivana Baquero Maribel Verdú Sergi López Guillermo del Toro Drama Fantasy War
Not Available,Drama Fantasy Mystery Thriller,Joel Courtney,Jessika Van,Riley Smith,the messengers,Joel Courtney Jessika Van Riley Smith Not Available Drama Fantasy Mystery Thriller
John Whitesell,Action Comedy Crime Family,Leslie Bibb,Angus T. Jones,Paul Sorvino,see spot run,Leslie Bibb Angus T. Jones Paul Sorvino John Whitesell Action Comedy Crime Family
John Singleton,Crime Drama Romance Thriller,Mo'Nique,Snoop Dogg,Angell Conwell,baby boy,Mo'Nique Snoop Dogg Angell Conwell John Singleton Crime Drama Romance Thriller
Christian E. Christiansen,Drama Horror Thriller,Leighton Meester,Danneel Ackles,Frances Fisher,the roommate,Leighton Meester Danneel Ackles Frances Fisher Christian E. Christiansen Drama Horror Thriller
Dennie Gordon,Adventure Comedy Drama,Brittany Daniel,Erik Per Sullivan,Fred Ward,joe dirt,Brittany Daniel Erik Per Sullivan Fred Ward Dennie Gordon Adventure Comedy Drama
Sheldon Lettich,Action Crime,Bolo Yeung,Alonna Shaw,Kamel Krifa,double impact,Bolo Yeung Alonna Shaw Kamel Krifa Sheldon Lettich Action Crime
Edgar Wright,Action Comedy Mystery,Bill Bailey,Joe Cornish,Billie Whitelaw,hot fuzz,Bill Bailey Joe Cornish Billie Whitelaw Edgar Wright Action Comedy Mystery
Diane English,Comedy Drama,Jada Pinkett Smith,Debi Mazar,Debra Messing,the women,Jada Pinkett Smith Debi Mazar Debra Messing Diane English Comedy Drama
Woody Allen,Drama Romance,Scarlett Johansson,Kevin Dunn,Christopher Evan Welch,vicky cristina barcelona,Scarlett Johansson Kevin Dunn Christopher Evan Welch Woody Allen Drama Romance
Peter Flinth,Action Adventure Drama Romance War,Gustaf Skarsgård,Michael Nyqvist,Vincent Perez,arn: the knight templar,Gustaf Skarsgård Michael Nyqvist Vincent Perez Peter Flinth Action Adventure Drama Romance War
Jon Lucas,Comedy,Mila Kunis,Jay Hernandez,Jada Pinkett Smith,bad moms,Mila Kunis Jay Hernandez Jada Pinkett Smith Jon Lucas Comedy
Robert Iscove,Comedy Drama Romance,Alyson Hannigan,Amanda Detmer,Tsianina Joelson,boys and girls,Alyson Hannigan Amanda Detmer Tsianina Joelson Robert Iscove Comedy Drama Romance
Peter Kosminsky,Drama,Patrick Fugit,Cole Hauser,Marc Donato,white oleander,Patrick Fugit Cole Hauser Marc Donato Peter Kosminsky Drama
Karyn Kusama,Comedy Fantasy Horror,J.K. Simmons,Amy Sedaris,Cynthia Stevenson,jennifer's body,J.K. Simmons Amy Sedaris Cynthia Stevenson Karyn Kusama Comedy Fantasy Horror
Nick Gomez,Comedy Crime Mystery,Will Ferrell,Jamie Lee Curtis,Tracey Walter,drowning mona,Will Ferrell Jamie Lee Curtis Tracey Walter Nick Gomez Comedy Crime Mystery
Woody Allen,Comedy,Mike Starr,Don Pardo,Julie Kavner,radio days,Mike Starr Don Pardo Julie Kavner Woody Allen Comedy
Vic Armstrong,Action Drama Fantasy Mystery Thriller,Nicolas Cage,Lea Thompson,Quinton Aaron,left behind,Nicolas Cage Lea Thompson Quinton Aaron Vic Armstrong Action Drama Fantasy Mystery Thriller
Allen Coulter,Drama Romance,Robert Pattinson,Lena Olin,Ruby Jerins,remember me,Robert Pattinson Lena Olin Ruby Jerins Allen Coulter Drama Romance
Clare Kilner,Comedy Drama Romance,Dylan Baker,Alexandra Holden,Trent Ford,how to deal,Dylan Baker Alexandra Holden Trent Ford Clare Kilner Comedy Drama Romance
Richard Benjamin,Comedy Romance Sci-Fi,Jon Lovitz,Alyson Hannigan,Tony Jay,my stepmother is an alien,Jon Lovitz Alyson Hannigan Tony Jay Richard Benjamin Comedy Romance Sci-Fi
Jonathan Demme,Drama,Denzel Washington,Tom Hanks,Jason Robards,philadelphia,Denzel Washington Tom Hanks Jason Robards Jonathan Demme Drama
Josef Rusnak,Mystery Sci-Fi Thriller,Gretchen Mol,Craig Bierko,Brad William Henke,the thirteenth floor,Gretchen Mol Craig Bierko Brad William Henke Josef Rusnak Mystery Sci-Fi Thriller
Lance Rivera,Comedy,Farrah Fawcett,Vincent Pastore,Jenifer Lewis,the cookout,Farrah Fawcett Vincent Pastore Jenifer Lewis Lance Rivera Comedy
Ronald Neame,Action Drama Sci-Fi Thriller,Martin Landau,Karl Malden,Brian Keith,meteor,Martin Landau Karl Malden Brian Keith Ronald Neame Action Drama Sci-Fi Thriller
Bruce Paltrow,Comedy Drama Music,Lochlyn Munro,Marian Seldes,Huey Lewis,duets,Lochlyn Munro Marian Seldes Huey Lewis Bruce Paltrow Comedy Drama Music
Woody Allen,Comedy Romance,Woody Allen,Debra Messing,Treat Williams,hollywood ending,Woody Allen Debra Messing Treat Williams Woody Allen Comedy Romance
Adam Rifkin,Comedy Music,Natasha Lyonne,Lin Shaye,Shannon Tweed,detroit rock city,Natasha Lyonne Lin Shaye Shannon Tweed Adam Rifkin Comedy Music
Russell Mulcahy,Action Adventure Fantasy,Christopher Lambert,Jon Polito,Celia Imrie,highlander,Christopher Lambert Jon Polito Celia Imrie Russell Mulcahy Action Adventure Fantasy
Susanne Bier,Drama,Alison Lohman,Omar Benson Miller,Robin Weigert,things we lost in the fire,Alison Lohman Omar Benson Miller Robin Weigert Susanne Bier Drama
Kenneth Johnson,Action Crime Sci-Fi,Charles Napier,Annabeth Gish,Hill Harper,steel,Charles Napier Annabeth Gish Hill Harper Kenneth Johnson Action Crime Sci-Fi
James Gray,Drama Romance,Jeremy Renner,Dagmara Dominczyk,Angela Sarafyan,the immigrant,Jeremy Renner Dagmara Dominczyk Angela Sarafyan James Gray Drama Romance
James Ivory,Drama History Romance War,Vanessa Redgrave,Natasha Richardson,Lynn Redgrave,the white countess,Vanessa Redgrave Natasha Richardson Lynn Redgrave James Ivory Drama History Romance War
Danny Boyle,Crime Drama Mystery Thriller,Rosario Dawson,Spencer Wilding,Tuppence Middleton,trance,Rosario Dawson Spencer Wilding Tuppence Middleton Danny Boyle Crime Drama Mystery Thriller
Jessy Terrero,Comedy,Mo'Nique,Snoop Dogg,Tom Arnold,soul plane,Mo'Nique Snoop Dogg Tom Arnold Jessy Terrero Comedy
Dany Boon,Comedy Romance,Dany Boon,Kad Merad,Michel Galabru,welcome to the sticks,Dany Boon Kad Merad Michel Galabru Dany Boon Comedy Romance
Vicente Amorim,Drama Romance War,Viggo Mortensen,Jodie Whittaker,Steven Mackintosh,good,Viggo Mortensen Jodie Whittaker Steven Mackintosh Vicente Amorim Drama Romance War
Gaspar Noé,Drama Fantasy,Paz de la Huerta,Emily Alyn Lind,Olly Alexander,enter the void,Paz de la Huerta Emily Alyn Lind Olly Alexander Gaspar Noé Drama Fantasy
Amy Heckerling,Comedy Horror Romance,Taylor Negron,Justin Kirk,Ivan Sergei,vamps,Taylor Negron Justin Kirk Ivan Sergei Amy Heckerling Comedy Horror Romance
Lasse Hallström,Drama Family,Cary-Hiroyuki Tagawa,Sarah Roemer,Joan Allen,hachi: a dog's tale,Cary-Hiroyuki Tagawa Sarah Roemer Joan Allen Lasse Hallström Drama Family
Jérôme Salle,Crime Drama Thriller,Orlando Bloom,Tanya van Graan,Conrad Kemp,zulu,Orlando Bloom Tanya van Graan Conrad Kemp Jérôme Salle Crime Drama Thriller
Tommy Lee Jones,Drama Western,Barry Corbin,Tim Blake Nelson,Miranda Otto,the homesman,Barry Corbin Tim Blake Nelson Miranda Otto Tommy Lee Jones Drama Western
Jesse Vaughan,Comedy Drama Romance Sport,Vivica A. Fox,Jenifer Lewis,Kevin Pollak,juwanna mann,Vivica A. Fox Jenifer Lewis Kevin Pollak Jesse Vaughan Comedy Drama Romance Sport
Not Available,Comedy Crime Drama,Steven Van Zandt,Trond Fausa,Tommy Karlsen,lilyhammer,Steven Van Zandt Trond Fausa Tommy Karlsen Not Available Comedy Crime Drama
Atom Egoyan,Drama War,David Alpay,Marie-Josée Croze,Charles Aznavour,ararat,David Alpay Marie-Josée Croze Charles Aznavour Atom Egoyan Drama War
William Bindley,Drama Sport,Bruce Dern,Jake Lloyd,William Shockley,madison,Bruce Dern Jake Lloyd William Shockley William Bindley Drama Sport
Wayne Beach,Drama Mystery Thriller,Mekhi Phifer,LL Cool J,Fisher Stevens,slow burn,Mekhi Phifer LL Cool J Fisher Stevens Wayne Beach Drama Mystery Thriller
Gérard Krawczyk,Action Comedy Crime Drama Thriller,Carole Bouquet,Ryôko Hirosue,Michel Muller,wasabi,Carole Bouquet Ryôko Hirosue Michel Muller Gérard Krawczyk Action Comedy Crime Drama Thriller
James Gunn,Comedy Horror Sci-Fi,Dustin Milligan,Gregg Henry,Tania Saulnier,slither,Dustin Milligan Gregg Henry Tania Saulnier James Gunn Comedy Horror Sci-Fi
Martin Brest,Action Comedy Crime,Judge Reinhold,Ronny Cox,James Russo,beverly hills cop,Judge Reinhold Ronny Cox James Russo Martin Brest Action Comedy Crime
Chris Columbus,Comedy Family,Macaulay Culkin,Devin Ratray,Catherine O'Hara,home alone,Macaulay Culkin Devin Ratray Catherine O'Hara Chris Columbus Comedy Family
Leonard Nimoy,Comedy Drama Family,Tom Selleck,Ted Danson,Steve Guttenberg,3 men and a baby,Tom Selleck Ted Danson Steve Guttenberg Leonard Nimoy Comedy Drama Family
Sydney Pollack,Comedy Drama Romance,Bill Murray,Sydney Pollack,Teri Garr,tootsie,Bill Murray Sydney Pollack Teri Garr Sydney Pollack Comedy Drama Romance
Tony Scott,Action Drama Romance,Tom Cruise,Tom Skerritt,Adrian Pasdar,top gun,Tom Cruise Tom Skerritt Adrian Pasdar Tony Scott Action Drama Romance
Ang Lee,Action Drama Romance,Chen Chang,Pei-Pei Cheng,Sihung Lung,"crouching tiger, hidden dragon",Chen Chang Pei-Pei Cheng Sihung Lung Ang Lee Action Drama Romance
Sam Mendes,Drama,Kevin Spacey,Peter Gallagher,Ara Celi,american beauty,Kevin Spacey Peter Gallagher Ara Celi Sam Mendes Drama
Tom Hooper,Biography Drama History Romance,Colin Firth,Jennifer Ehle,Derek Jacobi,the king's speech,Colin Firth Jennifer Ehle Derek Jacobi Tom Hooper Biography Drama History Romance
Ivan Reitman,Comedy Crime,Kelly Preston,Tony Jay,Hugh O'Brian,twins,Kelly Preston Tony Jay Hugh O'Brian Ivan Reitman Comedy Crime
Not Available,Crime Drama Horror Mystery Thriller,Bex Taylor-Klaus,Bobby Campo,Jason Wiles,scream: the tv series,Bex Taylor-Klaus Bobby Campo Jason Wiles Not Available Crime Drama Horror Mystery Thriller
Udayan Prasad,Drama Romance,Kristen Stewart,Eddie Redmayne,William Hurt,the yellow handkerchief,Kristen Stewart Eddie Redmayne William Hurt Udayan Prasad Drama Romance
Steven Spielberg,Drama,Oprah Winfrey,Rae Dawn Chong,Dana Ivey,the color purple,Oprah Winfrey Rae Dawn Chong Dana Ivey Steven Spielberg Drama
JK Youn,Action Comedy Drama Thriller,Nicole Dionne,Ji-won Ha,Kyung-gu Sol,tidal wave,Nicole Dionne Ji-won Ha Kyung-gu Sol JK Youn Action Comedy Drama Thriller
Timur Bekmambetov,Adventure Drama History,Morgan Freeman,Ayelet Zurer,Moises Arias,ben-hur,Morgan Freeman Ayelet Zurer Moises Arias Timur Bekmambetov Adventure Drama History
Morten Tyldum,Biography Drama Thriller War,Benedict Cumberbatch,Rory Kinnear,Allen Leech,the imitation game,Benedict Cumberbatch Rory Kinnear Allen Leech Morten Tyldum Biography Drama Thriller War
Howard Zieff,Comedy War,Eileen Brennan,Albert Brooks,Alan Oppenheimer,private benjamin,Eileen Brennan Albert Brooks Alan Oppenheimer Howard Zieff Comedy War
Michael Apted,Biography Drama Music Musical,Sissy Spacek,Beverly D'Angelo,Levon Helm,coal miner's daughter,Sissy Spacek Beverly D'Angelo Levon Helm Michael Apted Biography Drama Music Musical
Thor Freudenthal,Comedy Family,Chloë Grace Moretz,Zachary Gordon,Rachael Harris,diary of a wimpy kid,Chloë Grace Moretz Zachary Gordon Rachael Harris Thor Freudenthal Comedy Family
Andrés Muschietti,Fantasy Horror,Javier Botet,Megan Charpentier,Isabelle Nélisse,mama,Javier Botet Megan Charpentier Isabelle Nélisse Andrés Muschietti Fantasy Horror
John Carpenter,Horror Thriller,Jamie Lee Curtis,Donald Pleasence,P.J. Soles,halloween,Jamie Lee Curtis Donald Pleasence P.J. Soles John Carpenter Horror Thriller
Harold Ramis,Adventure Comedy,Beverly D'Angelo,Randy Quaid,Jane Krakowski,national lampoon's vacation,Beverly D'Angelo Randy Quaid Jane Krakowski Harold Ramis Adventure Comedy
Jeff Tremaine,Comedy,Jackson Nicoll,Georgina Cates,Grasie Mercedes,bad grandpa,Jackson Nicoll Georgina Cates Grasie Mercedes Jeff Tremaine Comedy
Stephen Frears,Biography Drama,Roger Allam,Sylvia Syms,Alex Jennings,the queen,Roger Allam Sylvia Syms Alex Jennings Stephen Frears Biography Drama
Tim Burton,Comedy Fantasy,Catherine O'Hara,Jeffrey Jones,Glenn Shadix,beetlejuice,Catherine O'Hara Jeffrey Jones Glenn Shadix Tim Burton Comedy Fantasy
Tyler Perry,Comedy Drama,Michael Jai White,Tasha Smith,Lamman Rucker,why did i get married?,Michael Jai White Tasha Smith Lamman Rucker Tyler Perry Comedy Drama
Gillian Armstrong,Drama Family Romance,Christian Bale,Kirsten Dunst,Eric Stoltz,little women,Christian Bale Kirsten Dunst Eric Stoltz Gillian Armstrong Drama Family Romance
James Watkins,Drama Fantasy Horror Thriller,Daniel Radcliffe,Roger Allam,Jessica Raine,the woman in black,Daniel Radcliffe Roger Allam Jessica Raine James Watkins Drama Fantasy Horror Thriller
Simon West,Horror Thriller,Madeline Carroll,Tessa Thompson,Brian Geraghty,when a stranger calls,Madeline Carroll Tessa Thompson Brian Geraghty Simon West Horror Thriller
Shawn Levy,Adventure Comedy Family,Frankie Muniz,Donald Faison,Lee Majors,big fat liar,Frankie Muniz Donald Faison Lee Majors Shawn Levy Adventure Comedy Family
Michael Cimino,Drama War,Robert De Niro,Meryl Streep,John Savage,the deer hunter,Robert De Niro Meryl Streep John Savage Michael Cimino Drama War
Barry Levinson,Comedy Drama,Robert De Niro,Kirsten Dunst,John Michael Higgins,wag the dog,Robert De Niro Kirsten Dunst John Michael Higgins Barry Levinson Comedy Drama
Jim Fall,Adventure Comedy Family Music Romance,Clayton Snyder,Adam Lamberg,Alex Borstein,the lizzie mcguire movie,Clayton Snyder Adam Lamberg Alex Borstein Jim Fall Adventure Comedy Family Music Romance
Ric Roman Waugh,Action Drama Thriller,Dwayne Johnson,Harold Perrineau,Nadine Velazquez,snitch,Dwayne Johnson Harold Perrineau Nadine Velazquez Ric Roman Waugh Action Drama Thriller
Michael Dougherty,Comedy Fantasy Horror,Adam Scott,Conchata Ferrell,Allison Tolman,krampus,Adam Scott Conchata Ferrell Allison Tolman Michael Dougherty Comedy Fantasy Horror
Robert Rodriguez,Horror Mystery Sci-Fi,Jordana Brewster,Salma Hayek,Clea DuVall,the faculty,Jordana Brewster Salma Hayek Clea DuVall Robert Rodriguez Horror Mystery Sci-Fi
Brian Gibson,Biography Drama Music,Rae'Ven Kelly,Virginia Capers,Dororthy Thorton,what's love got to do with it,Rae'Ven Kelly Virginia Capers Dororthy Thorton Brian Gibson Biography Drama Music
James Mangold,Crime Drama Thriller,Robert De Niro,Sylvester Stallone,Janeane Garofalo,cop land,Robert De Niro Sylvester Stallone Janeane Garofalo James Mangold Crime Drama Thriller
Joel Gallen,Comedy,Chris Evans,JoAnna Garcia Swisher,Mia Kirshner,not another teen movie,Chris Evans JoAnna Garcia Swisher Mia Kirshner Joel Gallen Comedy
David Ayer,Crime Drama Thriller,Jake Gyllenhaal,Anna Kendrick,America Ferrera,end of watch,Jake Gyllenhaal Anna Kendrick America Ferrera David Ayer Crime Drama Thriller
Cameron Crowe,Comedy Drama Romance,Emma Stone,Bradley Cooper,Bill Murray,aloha,Emma Stone Bradley Cooper Bill Murray Cameron Crowe Comedy Drama Romance
Rob Cohen,Action Crime Drama Thriller,Paul Walker,Leslie Bibb,William Petersen,the skulls,Paul Walker Leslie Bibb William Petersen Rob Cohen Action Crime Drama Thriller
James Marsh,Biography Drama Romance,Eddie Redmayne,Emily Watson,Simon McBurney,the theory of everything,Eddie Redmayne Emily Watson Simon McBurney James Marsh Biography Drama Romance
John Whitesell,Comedy Crime,Greg Grunberg,Regina Hall,Blair Underwood,malibu's most wanted,Greg Grunberg Regina Hall Blair Underwood John Whitesell Comedy Crime
Matt Williams,Comedy Drama Romance,Natalie Portman,James Frain,Stockard Channing,where the heart is,Natalie Portman James Frain Stockard Channing Matt Williams Comedy Drama Romance
David Lean,Adventure Biography Drama History War,Claude Rains,José Ferrer,Jack Hawkins,lawrence of arabia,Claude Rains José Ferrer Jack Hawkins David Lean Adventure Biography Drama History War
Rob Zombie,Horror,Scout Taylor-Compton,Tyler Mane,Margot Kidder,halloween ii,Scout Taylor-Compton Tyler Mane Margot Kidder Rob Zombie Horror
Jean-Marc Vallée,Adventure Biography Drama,Michiel Huisman,Kevin Rankin,Gaby Hoffmann,wild,Michiel Huisman Kevin Rankin Gaby Hoffmann Jean-Marc Vallée Adventure Biography Drama
Dennis Iliadis,Crime Horror Thriller,Tony Goldwyn,Monica Potter,Martha MacIsaac,the last house on the left,Tony Goldwyn Monica Potter Martha MacIsaac Dennis Iliadis Crime Horror Thriller
Clare Kilner,Comedy Romance,Jack Davenport,Debra Messing,Holland Taylor,the wedding date,Jack Davenport Debra Messing Holland Taylor Clare Kilner Comedy Romance
Rick Rosenthal,Comedy Horror Thriller,Jamie Lee Curtis,Thomas Ian Nicholas,Bianca Kajlich,halloween: resurrection,Jamie Lee Curtis Thomas Ian Nicholas Bianca Kajlich Rick Rosenthal Comedy Horror Thriller
Louis Leterrier,Action Adventure Fantasy,Liam Neeson,Jason Flemyng,Alexa Davalos,clash of the titans,Liam Neeson Jason Flemyng Alexa Davalos Louis Leterrier Action Adventure Fantasy
Rob Reiner,Adventure Family Fantasy Romance,Robin Wright,Carol Kane,André the Giant,the princess bride,Robin Wright Carol Kane André the Giant Rob Reiner Adventure Family Fantasy Romance
Denzel Washington,Biography Drama,Denzel Washington,Jurnee Smollett-Bell,John Heard,the great debaters,Denzel Washington Jurnee Smollett-Bell John Heard Denzel Washington Biography Drama
Nicolas Winding Refn,Crime Drama,Ryan Gosling,Albert Brooks,Russ Tamblyn,drive,Ryan Gosling Albert Brooks Russ Tamblyn Nicolas Winding Refn Crime Drama
Sara Sugarman,Comedy Family Music Romance,Adam Garcia,Carol Kane,Glenne Headly,confessions of a teenage drama queen,Adam Garcia Carol Kane Glenne Headly Sara Sugarman Comedy Family Music Romance
Nicholas Hytner,Comedy Drama Romance,Liam Aiken,Tim Daly,Kali Rocha,the object of my affection,Liam Aiken Tim Daly Kali Rocha Nicholas Hytner Comedy Drama Romance
Juan Carlos Fresnadillo,Drama Horror Sci-Fi,Jeremy Renner,Harold Perrineau,Catherine McCormack,28 weeks later,Jeremy Renner Harold Perrineau Catherine McCormack Juan Carlos Fresnadillo Drama Horror Sci-Fi
Thomas Carter,Drama Family Sport,Jessie T. Usher,Matthew Daddario,Ser'Darius Blain,when the game stands tall,Jessie T. Usher Matthew Daddario Ser'Darius Blain Thomas Carter Drama Family Sport
Wayne Wang,Comedy Drama Family,Cicely Tyson,Luke Benward,Eva Marie Saint,because of winn-dixie,Cicely Tyson Luke Benward Eva Marie Saint Wayne Wang Comedy Drama Family
Gina Prince-Bythewood,Drama Romance Sport,Alfre Woodard,Sanaa Lathan,Omar Epps,love & basketball,Alfre Woodard Sanaa Lathan Omar Epps Gina Prince-Bythewood Drama Romance Sport
George Armitage,Action Comedy Crime Romance Thriller,Minnie Driver,Michael Cudlitz,Mitchell Ryan,grosse pointe blank,Minnie Driver Michael Cudlitz Mitchell Ryan George Armitage Action Comedy Crime Romance Thriller
Phil Traill,Comedy Romance,Bradley Cooper,Katy Mixon,Beth Grant,all about steve,Bradley Cooper Katy Mixon Beth Grant Phil Traill Comedy Romance
Joe Berlinger,Adventure Fantasy Horror Mystery Thriller,Kim Director,Erica Leerhsen,Kurt Loder,book of shadows: blair witch 2,Kim Director Erica Leerhsen Kurt Loder Joe Berlinger Adventure Fantasy Horror Mystery Thriller
Andrew Fleming,Drama Fantasy Horror Thriller,Christine Taylor,Rachel True,Brenda Strong,the craft,Christine Taylor Rachel True Brenda Strong Andrew Fleming Drama Fantasy Horror Thriller
Woody Allen,Drama Romance Thriller,Scarlett Johansson,Mark Gatiss,Penelope Wilton,match point,Scarlett Johansson Mark Gatiss Penelope Wilton Woody Allen Drama Romance Thriller
Elizabeth Allen Rosenbaum,Adventure Comedy Family Fantasy,Sierra McCormick,Hutch Dano,Jason Spevack,ramona and beezus,Sierra McCormick Hutch Dano Jason Spevack Elizabeth Allen Rosenbaum Adventure Comedy Family Fantasy
James Ivory,Drama Romance,Anthony Hopkins,Peter Vaughan,Ben Chaplin,the remains of the day,Anthony Hopkins Peter Vaughan Ben Chaplin James Ivory Drama Romance
Paul Thomas Anderson,Drama,Don Cheadle,Nicole Ari Parker,Nina Hartley,boogie nights,Don Cheadle Nicole Ari Parker Nina Hartley Paul Thomas Anderson Drama
Robert Harmon,Action Crime Drama Romance Thriller,Kieran Culkin,Rosanna Arquette,Joss Ackland,nowhere to run,Kieran Culkin Rosanna Arquette Joss Ackland Robert Harmon Action Crime Drama Romance Thriller
Michael Mayer,Adventure Drama Family,Alison Lohman,Danny Pino,Tim McGraw,flicka,Alison Lohman Danny Pino Tim McGraw Michael Mayer Adventure Drama Family
Martin Weisz,Horror,Jeff Kober,Daniella Alonso,Jacob Vargas,the hills have eyes ii,Jeff Kober Daniella Alonso Jacob Vargas Martin Weisz Horror
John Ottman,Horror Mystery Thriller,Loretta Devine,Joey Lawrence,Jacinda Barrett,urban legends: final cut,Loretta Devine Joey Lawrence Jacinda Barrett John Ottman Horror Mystery Thriller
Jay Russell,Drama Family Fantasy Romance,William Hurt,Sissy Spacek,Jonathan Jackson,tuck everlasting,William Hurt Sissy Spacek Jonathan Jackson Jay Russell Drama Family Fantasy Romance
John Bonito,Action Drama Thriller,Kelly Carlson,Firass Dirani,Drew Powell,the marine,Kelly Carlson Firass Dirani Drew Powell John Bonito Action Drama Thriller
Peter Atencio,Action Comedy,Nia Long,Will Forte,Keegan-Michael Key,keanu,Nia Long Will Forte Keegan-Michael Key Peter Atencio Action Comedy
Shana Feste,Drama Music,Leighton Meester,Cinda McCain,Tim McGraw,country strong,Leighton Meester Cinda McCain Tim McGraw Shana Feste Drama Music
David Nutter,Horror Mystery Sci-Fi Thriller,Bruce Greenwood,Ethan Embry,Katharine Isabelle,disturbing behavior,Bruce Greenwood Ethan Embry Katharine Isabelle David Nutter Horror Mystery Sci-Fi Thriller
Derek Cianfrance,Crime Drama Thriller,Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza,the place beyond the pines,Ryan Gosling Ben Mendelsohn Angelo Anthony Pizza Derek Cianfrance Crime Drama Thriller
Roger Donaldson,Action Crime Thriller,Luke Bracey,Akie Kotabe,Will Patton,the november man,Luke Bracey Akie Kotabe Will Patton Roger Donaldson Action Crime Thriller
Stephan Elliott,Drama Mystery Thriller,Jason Priestley,Patrick Bergin,Geneviève Bujold,eye of the beholder,Jason Priestley Patrick Bergin Geneviève Bujold Stephan Elliott Drama Mystery Thriller
Kathryn Bigelow,Drama History Thriller War,Jeremy Renner,Christian Camargo,Brian Geraghty,the hurt locker,Jeremy Renner Christian Camargo Brian Geraghty Kathryn Bigelow Drama History Thriller War
Mark L. Lester,Action Horror Sci-Fi Thriller,Heather Locklear,George C. Scott,David Keith,firestarter,Heather Locklear George C. Scott David Keith Mark L. Lester Action Horror Sci-Fi Thriller
Andrew Dominik,Crime Thriller,Brad Pitt,Sam Shepard,Ben Mendelsohn,killing them softly,Brad Pitt Sam Shepard Ben Mendelsohn Andrew Dominik Crime Thriller
Anton Corbijn,Crime Drama Thriller,Philip Seymour Hoffman,Nina Hoss,Homayoun Ershadi,a most wanted man,Philip Seymour Hoffman Nina Hoss Homayoun Ershadi Anton Corbijn Crime Drama Thriller
Tom Green,Comedy,Rip Torn,Harland Williams,Eddie Kaye Thomas,freddy got fingered,Rip Torn Harland Williams Eddie Kaye Thomas Tom Green Comedy
Mike Nawrocki,Adventure Animation Comedy Family,Yuri Lowenthal,Cam Clarke,Phil Vischer,the pirates who don't do anything: a veggietales movie,Yuri Lowenthal Cam Clarke Phil Vischer Mike Nawrocki Adventure Animation Comedy Family
Catherine Owens,Documentary Music,Bono,The Edge,Larry Mullen Jr.,u2 3d,Bono The Edge Larry Mullen Jr. Catherine Owens Documentary Music
