director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title
Woody Allen,Comedy Drama,Melanie Griffith,Aleksa Palladino,Greg Mottola,Celebrity
Ryan Murphy,Comedy Drama,Jill Clayburgh,Joseph Cross,Dagmara Dominczyk,Running with Scissors
Robert Iscove,Comedy Musical Romance,Anika Noni Rose,Kelly Clarkson,Brian Dietzen,From Justin to Kelly
Spike Lee,Comedy Drama,Michael Imperioli,Debi Mazar,Gretchen Mol,Girl 6
Jane Campion,Mystery Thriller,Jennifer Jason Leigh,Nick Damici,Susan Gardner,In the Cut
James Gray,Drama Romance,Isabella Rossellini,Vinessa Shaw,Samantha Ivers,Two Lovers
Fred Schepisi,Drama,Bob Hoskins,Ray Winstone,JJ Feild,Last Orders
Joon-ho Bong,Comedy Drama Horror Sci-Fi,Doona Bae,Kang-ho Song,Ah-sung Ko,The Host
Roger Spottiswoode,Adventure Crime Thriller,Robert Duvall,Treat Williams,Paul Gleason,The Pursuit of D.B. Cooper
Antonia Bird,Fantasy Horror Thriller,Jeremy Davies,Jeffrey Jones,David Arquette,Ravenous
Jon Poll,Comedy Drama Romance,Robert Downey Jr.,Megan Park,Hope Davis,Charlie Bartlett
Paolo Sorrentino,Drama,Toni Servillo,Sabrina Ferilli,Serena Grandi,The Great Beauty
Peter Care,Comedy Drama,Kieran Culkin,Michael Harding,Jake Richardson,The Dangerous Lives of Altar Boys
Chan-wook Park,Drama Thriller,Mia Wasikowska,Alden Ehrenreich,Harmony Korine,Stoker
Kar-Wai Wong,Drama Romance Sci-Fi,Li Gong,Tony Chiu Wai Leung,Maggie Cheung,2046
Ira Sachs,Crime Drama Romance,David Richmond-Peck,Erin Boyes,Timothy Webber,Married Life
Carroll Ballard,Adventure Drama Family,Eamonn Walker,Hope Davis,Campbell Scott,Duma
Neil Jordan,Drama Mystery Romance,Tony Curran,Stephen Rea,Alicja Bachleda,Ondine
Takeshi Kitano,Crime Drama Thriller,Omar Epps,Tatyana Ali,James Shigeta,Brother
Anthony Russo,Comedy Crime,Michael Jeter,Isaiah Washington,Andy Davoli,Welcome to Collinwood
Sidney Lumet,Comedy Drama,Kyra Sedgwick,Anne Bancroft,Albert Brooks,Critical Care
Vadim Perelman,Drama Mystery Thriller,Eva Amurri Martino,Lynn Cohen,Brett Cullen,The Life Before Her Eyes
Lawrence Kasdan,Comedy Drama Romance,Dianne Wiest,Mark Duplass,Sam Shepard,Darling Companion
Marco Kreuzpaintner,Crime Drama Thriller,Zack Ward,Kate del Castillo,Alicja Bachleda,Trade
Lajos Koltai,Drama Romance War,Marcell Nagy,Péter Fancsikai,Bálint Péntek,Fateless
Alan Rudolph,Comedy,Bruce Willis,Albert Finney,Omar Epps,Breakfast of Champions
Yimou Zhang,Comedy Drama,Honglei Sun,Ni Yan,Dahong Ni,"A Woman, a Gun and a Noodle Shop"
Vincenzo Natali,Mystery Romance Sci-Fi Thriller,David Hewlett,Jeremy Northam,Kari Matchett,Cypher
Chuan Lu,Drama History War,Ye Liu,Yuanyuan Gao,Ryu Kohata,City of Life and Death
Tim Johnson,Adventure Animation Comedy Family Fantasy Sci-Fi,Jim Parsons,Matt Jones,April Winchell,Home
Lijun Sun,Action Adventure Animation Comedy Family,Jon Heder,Tom Arnold,Rebecca Black,Legend of Kung Fu Rabbit
Takashi Yamazaki,Action Adventure Drama Sci-Fi,Takuya Kimura,Meisa Kuroki,Hiroyuki Ikeuchi,Space Battleship Yamato
Renny Harlin,Action Drama War,Richard Coyle,Kenneth Cranham,Ana Imnadze,5 Days of War
Christopher Smith,Fantasy Mystery Thriller,Rachael Carpani,Michael Dorman,Emma Lung,Triangle
Timothy Hines,Drama,Christopher Lambert,Kelly LeBrock,Alexandra Callas,10 Days in a Madhouse
Randall Wallace,Biography Drama,Jacob Vargas,Connor Corum,Rob Moran,Heaven Is for Real
Guy Ritchie,Comedy Crime,Jason Statham,Brad Pitt,Jason Flemyng,Snatch
David Winters,Family Musical,Gary Daniels,Matt Marr,Ginger Jensen,Dancin' It's On
Mary Lambert,Fantasy Horror,Miko Hughes,Fred Gwynne,Denise Crosby,Pet Sematary
Akira Kurosawa,Drama,Tatsuo Matsumura,Tetsu Watanabe,Akira Terao,Madadayo
Jamie Thraves,Drama Thriller,Paddy Considine,Caroline Dhavernas,Charlotte Sullivan,The Cry of the Owl
Mabel Cheung,Drama,Wei Tang,Ching Wan Lau,Hailu Qin,A Tale of Three Cities
Joe Dante,Comedy Fantasy Horror,Phoebe Cates,Harry Carey Jr.,Zach Galligan,Gremlins
George Lucas,Action Adventure Fantasy Sci-Fi,Harrison Ford,Peter Cushing,Kenny Baker,Star Wars: Episode IV - A New Hope
Dan Mazer,Comedy,Robert De Niro,Zoey Deutch,Jason Mantzoukas,Dirty Grandpa
David Lean,Drama Romance War,Julie Christie,Klaus Kinski,Geraldine Chaplin,Doctor Zhivago
Stephen Daldry,Adventure Crime Drama Mystery Thriller,Wagner Moura,Selton Mello,Daniel Zettel,Trash
Kenny Ortega,Comedy Drama Family Music Musical Romance,Lucas Grabeel,Matt Prokop,Corbin Bleu,High School Musical 3: Senior Year
David O. Russell,Biography Drama Sport,Christian Bale,Jack McGee,Melissa McMeekin,The Fighter
Jeff Tremaine,Action Comedy Documentary,Bam Margera,Steve-O,Chris Pontius,Jackass Number Two
Jonathan Lynn,Comedy Crime,Fred Gwynne,Bruce McGill,Lane Smith,My Cousin Vinny
R.J. Cutler,Drama Fantasy Music Romance,Chloë Grace Moretz,Mireille Enos,Stacy Keach,If I Stay
Brian Trenchard-Smith,Action Comedy Crime,Zoe Ventoura,Damien Garvey,Christopher Sommers,Drive Hard
David S. Ward,Comedy Sport,Corbin Bernsen,Tom Berenger,Rene Russo,Major League
Oliver Parker,Comedy,Lily Cole,Rupert Everett,Tamsin Egerton,St. Trinian's
Joel Schumacher,Crime Thriller,Radha Mitchell,John Enos III,Richard T. Jones,Phone Booth
Adam Shankman,Drama Romance,Lauren German,Peter Coyote,Paz de la Huerta,A Walk to Remember
Tim Robbins,Crime Drama,Lois Smith,Celia Weston,Robert Prosky,Dead Man Walking
Roger Kumble,Drama Romance,Sarah Michelle Gellar,Sean Patrick Thomas,Eric Mabius,Cruel Intentions
Kevin Greutert,Horror Mystery,Costas Mandylor,Shawnee Smith,George Newbern,Saw VI
Mel Brooks,Comedy,Madeline Kahn,Sid Caesar,Dom DeLuise,History of the World: Part I
Gina Prince-Bythewood,Drama,Nate Parker,Alicia Keys,Jennifer Hudson,The Secret Life of Bees
Rob Pritts,Comedy Crime,Vincent Pastore,Vinessa Shaw,Peter Berg,Corky Romano
Brian De Palma,Crime Drama Thriller,Steven Bauer,Gabrielle Carteris,Gregg Henry,Raising Cain
Norman Jewison,Drama,Sylvester Stallone,Peter Boyle,Rod Steiger,F.I.S.T.
Tobe Hooper,Horror Sci-Fi,Louise Fletcher,Bud Cort,William Bassett,Invaders from Mars
John Crowley,Drama Romance,Julie Walters,Fiona Glascott,Eva Birthistle,Brooklyn
Stanley Kubrick,Adventure Drama History War,Ryan O'Neal,Steven Berkoff,Hardy Krüger,Barry Lyndon
Brendan Malloy,Comedy Sport,Lee Majors,Jason London,Thomas Lennon,Out Cold
Reginald Hudlin,Comedy,Will Ferrell,John Witherspoon,Tim Meadows,The Ladies Man
Dustin Hoffman,Comedy Drama,Luke Newberry,Sheridan Smith,Pauline Collins,Quartet
Gregory Poirier,Comedy,Shannon Elizabeth,Jake Busey,David Ogden Stiers,Tomcats
Bill Paxton,Crime Drama Thriller,Matthew McConaughey,Powers Boothe,Matt O'Leary,Frailty
Simon Curtis,Biography Drama History,Ryan Reynolds,Frances Fisher,Elizabeth McGovern,Woman in Gold
Bill Condon,Biography Drama,Liam Neeson,Oliver Platt,Dylan Baker,Kinsey
Sam Raimi,Comedy Fantasy Horror,Patricia Tallman,Bridget Fonda,Embeth Davidtz,Army of Darkness
Dewey Nicks,Comedy Romance,Jaime King,Gedde Watanabe,Jim Rash,Slackers
Lasse Hallström,Drama Romance,Johnny Depp,Leonardo DiCaprio,Kevin Tighe,What's Eating Gilbert Grape
Philip Saville,Biography Drama History,Henry Ian Cusick,Alan Van Sprang,Scott Handy,The Visual Bible: The Gospel of John
Mike Leigh,Crime Drama,Eddie Marsan,Sally Hawkins,Imelda Staunton,Vera Drake
Daisy von Scherler Mayer,Comedy Music Romance,Michael McKean,Dash Mihok,Jimi Mistry,The Guru
Mira Nair,Comedy Drama Romance,Anjelica Huston,Chazz Palminteri,Vincent Gallo,The Perez Family
Ethan Coen,Drama Music,Justin Timberlake,Max Casella,Alex Karpovsky,Inside Llewyn Davis
Tim Blake Nelson,Drama Romance Thriller,Mekhi Phifer,Andrew Keegan,John Heard,O
William A. Graham,Adventure Drama Romance,Milla Jovovich,Wayne Pygram,Lisa Pelikan,Return to the Blue Lagoon
Martin Ritt,Drama History,Frank Finlay,Anthony Zerbe,Samantha Eggar,The Molly Maguires
John Turturro,Comedy Musical Romance,Kate Winslet,Steve Buscemi,Eddie Izzard,Romance & Cigarettes
Agnieszka Holland,Biography Drama Music,Phyllida Law,David Kennedy,Angus Barnett,Copying Beethoven
Tobe Hooper,Fantasy Horror,Heather O'Rourke,Zelda Rubinstein,Craig T. Nelson,Poltergeist
Rowan Joffe,Crime Drama Thriller,Sam Riley,Sean Harris,Geoff Bell,Brighton Rock
David Hackl,Horror Mystery,Julie Benz,Costas Mandylor,Scott Patterson,Saw V
Giuliano Montaldo,Crime Drama Thriller,John Cassavetes,Gena Rowlands,Britt Ekland,Machine Gun McCain
Lisa Azuelos,Comedy Drama Romance,Nora Dunn,Lina Esco,Alix Freihage,LOL
Ray Lawrence,Crime Drama Mystery Thriller,John Howard,Deborra-Lee Furness,Max Cullen,Jindabyne
Karan Johar,Drama,Shah Rukh Khan,John Abraham,Preity Zinta,Kabhi Alvida Naa Kehna
Oliver Parker,Comedy Romance,Minnie Driver,Rupert Everett,Jeremy Northam,An Ideal Husband
Ruairi Robinson,Horror Sci-Fi Thriller,Romola Garai,Olivia Williams,Tom Cullen,The Last Days on Mars
Jaume Balagueró,Horror,Lena Olin,Giancarlo Giannini,Francesc Pagès,Darkness
Stanley Kubrick,Adventure Mystery Sci-Fi,Keir Dullea,Gary Lockwood,Glenn Beck,2001: A Space Odyssey
Steven Spielberg,Family Sci-Fi,Henry Thomas,Dee Wallace,Peter Coyote,E.T. the Extra-Terrestrial
Jon Kasdan,Comedy Drama Romance,Kristen Stewart,Elena Anaya,Dustin Milligan,In the Land of Women
Léa Pool,Adventure Drama,William Hurt,Marc Donato,Raoul Max Trujillo,The Blue Butterfly
Floyd Mutrux,Comedy Drama,Ricky Schroder,Kelli Williams,Seymour Cassel,There Goes My Baby
Not Available,Comedy,Antonia Thomas,Johnny Flynn,Hannah Britland,Lovesick
Sajid Khan,Comedy,Arjun Rampal,Boman Irani,Riteish Deshmukh,Housefull
Christopher Cain,Drama History Romance Western,Jon Gries,Taylor Handley,Trent Ford,September Dawn
Dean Wright,Drama History War,Santiago Cabrera,Eduardo Verástegui,Catalina Sandino Moreno,For Greater Glory: The True Story of Cristiada
Eric Lartigau,Comedy Drama Music,Karin Viard,Eric Elmosnino,François Damiens,La Famille Bélier
Gus Van Sant,Drama,Robin Williams,Matt Damon,Minnie Driver,Good Will Hunting
Shintaro Shimosawa,Drama Thriller,Al Pacino,Anthony Hopkins,Glen Powell,Misconduct
Darren Lynn Bousman,Horror Mystery,Costas Mandylor,Shawnee Smith,Leigh Whannell,Saw III
Ivan Reitman,Action Comedy War,Bill Murray,Harold Ramis,Judge Reinhold,Stripes
Peyton Reed,Comedy Sport,Kirsten Dunst,Lindsay Sloane,Clare Kramer,Bring It On
James DeMonaco,Action Horror Sci-Fi Thriller,Frank Grillo,Joseph Julian Soria,Mykelti Williamson,The Purge: Election Year
Robert Iscove,Comedy Romance,Paul Walker,Clea DuVall,Kieran Culkin,She's All That
Lee Daniels,Drama,Mo'Nique,Gabourey Sidibe,Mariah Carey,Precious
Darren Lynn Bousman,Horror Mystery,Costas Mandylor,Shawnee Smith,Angus Macfadyen,Saw IV
Geoffrey Sax,Drama Horror Mystery Thriller,Deborah Kara Unger,Keegan Connor Tracy,Mike Dopud,White Noise
Tyler Perry,Comedy Drama Romance,Boris Kodjoe,Cicely Tyson,Blair Underwood,Madea's Family Reunion
Martin Scorsese,Drama Sport,Tom Cruise,Bill Cobbs,Mary Elizabeth Mastrantonio,The Color of Money
Ken Annakin,Action Drama History War,Richard Burton,Richard Beymer,Eddie Albert,The Longest Day
Stephen Herek,Comedy Drama Family Sport,Lane Smith,Shaun Weiss,Elden Henson,The Mighty Ducks
Takashi Shimizu,Horror Mystery Thriller,Sarah Michelle Gellar,Clea DuVall,Ted Raimi,The Grudge
Dennis Dugan,Comedy Sport,Adam Sandler,Kevin Nealon,Frances Bay,Happy Gilmore
Victor Salva,Horror Mystery,Eileen Brennan,Patricia Belcher,Jonathan Breck,Jeepers Creepers
Stephen Herek,Adventure Comedy Music Sci-Fi,Keanu Reeves,George Carlin,Al Leong,Bill & Ted's Excellent Adventure
Carol Reed,Drama Family Musical,Oliver Reed,Ron Moody,Jack Wild,Oliver!
John Madden,Comedy Drama,Tom Wilkinson,Penelope Wilton,Celia Imrie,The Best Exotic Marigold Hotel
Chuck Sheetz,Animation Comedy Family Mystery Sci-Fi,Diedrich Bader,Andrew Lawrence,Dabney Coleman,Recess: School's Out
George Miller,Action Adventure Sci-Fi Thriller,Tina Turner,Bruce Spence,Angelo Rossitto,Mad Max Beyond Thunderdome
Mark L. Lester,Action Adventure Thriller,Bill Duke,Vernon Wells,Rae Dawn Chong,Commando
William Brent Bell,Horror Mystery Thriller,Lauren Cohan,Rupert Evans,Stephanie Lemelin,The Boy
John Erick Dowdle,Horror Mystery Thriller,Bojana Novakovic,Bokeem Woodbine,Geoffrey Arend,Devil
Marcus Raboy,Comedy Drama,John Witherspoon,Mike Epps,Katt Williams,Friday After Next
Leigh Whannell,Fantasy Horror Thriller,Lin Shaye,Hayley Kiyoko,Leigh Whannell,Insidious: Chapter 3
Michael Schultz,Action Comedy Drama Music,Mike Starr,Vanity,Keshia Knight Pulliam,The Last Dragon
Guy Ritchie,Comedy Crime,Jason Statham,Brad Pitt,Jason Flemyng,Snatch
Brett Leonard,Horror Sci-Fi,Jeff Fahey,Austin O'Brien,Troy Evans,The Lawnmower Man
Peter Sollett,Comedy Drama Music Romance,Ari Graynor,Alexis Dziena,Aaron Yoo,Nick and Norah's Infinite Playlist
Kevin Smith,Adventure Comedy Drama Fantasy,Matt Damon,Janeane Garofalo,George Carlin,Dogma
Bob Dolman,Comedy Drama,Erika Christensen,Eva Amurri Martino,Sal Lopez,The Banger Sisters
Joe Dante,Fantasy Horror Sci-Fi,Albert Brooks,Al Leong,Vic Morrow,Twilight Zone: The Movie
Rowdy Herrington,Action Thriller,Ben Gazzara,Kevin Tighe,Kelly Lynch,Road House
Keenen Ivory Wayans,Action Comedy Crime,Jada Pinkett Smith,Salli Richardson-Whitfield,Charles S. Dutton,A Low Down Dirty Shame
John Polson,Drama Thriller,Erika Christensen,Shiri Appleby,Jason Ritter,Swimfan
Greg Coolidge,Comedy Romance,Dane Cook,Danny Woodburn,Jessica Simpson,Employee of the Month
Harry Elfont,Comedy Romance,Ethan Embry,Lauren Ambrose,Charlie Korsmo,Can't Hardly Wait
Francis Ford Coppola,Crime Drama,Tom Cruise,William Smith,Tom Waits,The Outsiders
David Lowery,Adventure Family Fantasy,Bryce Dallas Howard,Oona Laurence,Isiah Whitlock Jr.,Pete's Dragon
David Cronenberg,Horror Sci-Fi Thriller,Tom Skerritt,Herbert Lom,Anthony Zerbe,The Dead Zone
Ciarán Foy,Horror Mystery Thriller,Laila Haley,James Ransone,Jaden Klein,Sinister 2
Salim Akil,Drama Music,Omari Hardwick,Curtis Armstrong,Mike Epps,Sparkle
Jamie Blanks,Horror Mystery Thriller,Marley Shelton,Jessica Capshaw,Johnny Whitworth,Valentine
Olatunde Osunsanmi,Mystery Sci-Fi Thriller,Milla Jovovich,Will Patton,Hakeem Kae-Kazim,The Fourth Kind
Robert Altman,Comedy Drama Music,Meryl Streep,Virginia Madsen,Lily Tomlin,A Prairie Home Companion
Leon Ichaso,Drama Thriller,Khandi Alexander,Clarence Williams III,Steve Harris,Sugar Hill
Joseph Zito,Action Thriller,Billy Drago,Richard Lynch,Eddie Jones,Invasion U.S.A.
Malcolm D. Lee,Comedy Drama Music Romance,Jurnee Smollett-Bell,Brandon T. Jackson,Shad Moss,Roll Bounce
Wes Anderson,Comedy Drama,Bill Murray,Connie Nielsen,Olivia Williams,Rushmore
Colin Strause,Action Sci-Fi Thriller,David Zayas,Donald Faison,Brittany Daniel,Skyline
John Madden,Comedy Drama,Tina Desai,Celia Imrie,Ronald Pickup,The Second Best Exotic Marigold Hotel
Patricia Rozema,Drama Family,Julia Ormond,Jane Krakowski,Willow Smith,Kit Kittredge: An American Girl
Mark Rosman,Comedy Family Romance,Ben Feldman,Chris Noth,Vanessa Lengies,The Perfect Man
Spike Lee,Drama Music Romance,Denzel Washington,Nicholas Turturro,Charlie Murphy,Mo' Better Blues
Steve Oedekerk,Action Comedy,Steve Oedekerk,Simon Rhee,Jennifer Tung,Kung Pow: Enter the Fist
Ron Underwood,Comedy Horror Sci-Fi,Reba McEntire,Ariana Richards,Michael Gross,Tremors
Rob Schmidt,Horror Thriller,Kevin Zegers,Lindy Booth,Julian Richings,Wrong Turn
Walter Hill,Western,Dennis Quaid,David Carradine,Randy Quaid,The Long Riders
James Foley,Action Crime Drama Mystery Thriller,Byron Mann,Paul Ben-Victor,Kim Chan,The Corruptor
Jeff Nichols,Drama,Matthew McConaughey,Tye Sheridan,Sam Shepard,Mud
Robert Ben Garant,Comedy Crime,Wendi McLendon-Covey,Thomas Lennon,Carlos Alazraqui,Reno 911!: Miami
Morgan Spurlock,Documentary Music,Harry Styles,Zayn Malik,Niall Horan,One Direction: This Is Us
Neal Brennan,Comedy,Rob Riggle,Noureen DeWulf,Charles Napier,"The Goods: Live Hard, Sell Hard"
Tuck Tucker,Adventure Animation Comedy Family,Jennifer Jason Leigh,Vincent Schiavelli,Paul Sorvino,Hey Arnold! The Movie
Simon Curtis,Biography Drama,Eddie Redmayne,Toby Jones,Julia Ormond,My Week with Marilyn
Richard Shepard,Comedy Crime Drama Thriller,Adam Scott,Philip Baker Hall,Hope Davis,The Matador
Theodore Witcher,Drama Romance,Leonard Roberts,Nia Long,Larenz Tate,Love Jones
Joel Edgerton,Mystery Thriller,Busy Philipps,Allison Tolman,Wendell Pierce,The Gift
Jim Hanon,Adventure Drama,Chase Ellison,Chad Allen,Jack Guzman,End of the Spear
Tommy O'Haver,Comedy Romance,Mila Kunis,Kirsten Dunst,Carmen Electra,Get Over It
Mike Judge,Comedy,Gary Cole,Stephen Root,Diedrich Bader,Office Space
Michael Patrick Jann,Comedy Romance Thriller,Kirsten Dunst,Kirstie Alley,Ellen Barkin,Drop Dead Gorgeous
Tim Burton,Biography Crime Drama Romance,Christoph Waltz,Danny Huston,Jon Polito,Big Eyes
Peter Berg,Comedy Crime Thriller,Jon Favreau,Daniel Stern,Jeanne Tripplehorn,Very Bad Things
Joe Nussbaum,Comedy Romance,Steve Carell,Alexa PenaVega,Hunter Parrish,Sleepover
Brian De Palma,Mystery Thriller,Melanie Griffith,Dennis Franz,Gregg Henry,Body Double
Jorma Taccone,Action Comedy Romance,Jasper Cole,Will Forte,Powers Boothe,MacGruber
Stephen Frears,Crime Drama Thriller,Sophie Okonedo,Benedict Wong,Sergi López,Dirty Pretty Things
Elizabeth Banks,Comedy,Hugh Jackman,Kate Winslet,Seth MacFarlane,Movie 43
Florian Henckel von Donnersmarck,Action Romance Thriller,Johnny Depp,Angelina Jolie Pitt,Rufus Sewell,The Tourist
Jeff Lowell,Comedy Fantasy Romance,Stephen Root,William Morgan Sheppard,Wendi McLendon-Covey,Over Her Dead Body
Lorene Scafaria,Adventure Comedy Drama Romance Sci-Fi,Steve Carell,Mark Moses,Rob Huebel,Seeking a Friend for the End of the World
Miguel Arteta,Comedy,Kurtwood Smith,Stephen Root,Alia Shawkat,Cedar Rapids
Not Available,Comedy Crime Drama Mystery Romance,Michaela Conlin,T.J. Thyne,Tamara Taylor,Bones
Tony Kaye,Crime Drama,Ethan Suplee,Beverly D'Angelo,Stacy Keach,American History X
Marcus Dunstan,Action Horror Thriller,Daniel Sharman,Johanna Braddy,Lee Tergesen,The Collection
Timothy Björklund,Animation Comedy Family Fantasy Musical,Nathan Lane,Kelsey Grammer,Jerry Stiller,Teacher's Pet
François Girard,Drama Music Mystery Romance,Johannes Silberschneider,Clotilde Mollet,Carlo Cecchi,The Red Violin
David Lynch,Biography Drama,Sissy Spacek,Richard Farnsworth,Everett McGill,The Straight Story
Scott Kalvert,Action Crime Drama,Norman Reedus,James Franco,Frankie Muniz,Deuces Wild
Jason Bateman,Comedy Drama,Beth Grant,Philip Baker Hall,Patricia Belcher,Bad Words
David Schwimmer,Comedy Romance Sport,Dylan Moran,Iddo Goldberg,India de Beaufort,"Run, Fatboy, Run"
Allan Arkush,Comedy Sci-Fi,Bernadette Peters,Randy Quaid,Christopher Guest,Heartbeeps
Mike Binder,Drama,Jennifer Ehle,Gillian Jacobs,Jillian Estell,Black or White
Eric Bross,Comedy Family Romance,Jerry Stiller,Tamala Jones,Dave Foley,On the Line
Werner Herzog,Adventure Biography Drama War,Christian Bale,Toby Huss,François Chau,Rescue Dawn
Dan Fogelman,Comedy Drama Music,Al Pacino,Jennifer Garner,Melissa Benoist,Danny Collins
Jay Duplass,Comedy Drama,Judy Greer,Evan Ross,Rae Dawn Chong,"Jeff, Who Lives at Home"
Luca Guadagnino,Drama Romance,Flavio Parenti,Waris Ahluwalia,Alba Rohrwacher,I Am Love
John Putch,Drama Mystery Sci-Fi,Robert Picardo,Diedrich Bader,Esai Morales,Atlas Shrugged II: The Strike
Peter Medak,Action Crime Drama Thriller,Gary Oldman,Michael Wincott,Lena Olin,Romeo Is Bleeding
Steven Soderbergh,Crime Drama Mystery Thriller,Peter Fonda,Lesley Ann Warren,William Lucking,The Limey
Paul Haggis,Crime Drama Thriller,Don Cheadle,Loretta Devine,Jennifer Esposito,Crash
Terence Davies,Drama Romance,Eric Stoltz,Anthony LaPaglia,Elizabeth McGovern,The House of Mirth
Harley Cokeliss,Action Drama Thriller,Cliff Robertson,Tracey Walter,Dennis Burkley,Malone
Victor Salva,Drama Romance Sport,Scott Mechlowicz,Tim DeKay,Agnes Bruckner,Peaceful Warrior
Tom Brady,Comedy,Don Johnson,Kevin Nealon,Nicholas Turturro,Bucky Larson: Born to Be a Star
Spike Lee,Comedy Drama Music,Gillian White,Michael Rapaport,Jada Pinkett Smith,Bamboozled
Jason Zada,Horror Mystery Thriller,Eoin Macken,Stephanie Vogt,Gen Seto,The Forest
Franklin J. Schaffner,Adventure Mystery Thriller,Frank Langella,William Hootkins,John Gielgud,Sphinx
Noah Baumbach,Comedy Drama,Naomi Watts,Maria Dizzia,Dree Hemingway,While We're Young
Chris Weitz,Drama Romance,Demián Bichir,Eddie 'Piolin' Sotelo,Robert Peters,A Better Life
David Cronenberg,Drama Mystery Thriller,Miranda Richardson,John Neville,Lynn Redgrave,Spider
Eric Blakeney,Comedy Crime Romance,Liam Neeson,Oliver Platt,Mitch Pileggi,Gun Shy
Douglas McGrath,Drama Romance,Charlie Hunnam,Anne Hathaway,Jim Broadbent,Nicholas Nickleby
Ariel Vromen,Biography Crime Drama,Chris Evans,James Franco,Robert Davi,The Iceman
Not Available,Drama,Krystyna Janda,Olaf Lubaszenko,Olgierd Lukaszewicz,Dekalog
Rakesh Roshan,Action Adventure Romance Sci-Fi,Naseeruddin Shah,Rekha,Sharat Saxena,Krrish
John Waters,Comedy Crime Thriller,Alicia Witt,Melanie Griffith,Kevin Nealon,Cecil B. DeMented
William Friedkin,Crime Drama Romance Thriller,Matthew McConaughey,Scott A. Martin,Carol Sutton,Killer Joe
Derrick Borte,Comedy Drama,Demi Moore,Gary Cole,Robert Pralgo,The Joneses
Richard Kwietniowski,Crime Drama Thriller,Philip Seymour Hoffman,Minnie Driver,Maury Chaykin,Owning Mahowny
Bob Odenkirk,Comedy,Jenna Fischer,Lee Majors,Will Forte,The Brothers Solomon
Kar-Wai Wong,Drama Romance,Natalie Portman,Norah Jones,Adriane Lenox,My Blueberry Nights
John Turturro,Drama,Beverly D'Angelo,Ben Gazzara,George DiCenzo,Illuminata
Guy Ritchie,Comedy Romance,Bruce Greenwood,Jeanne Tripplehorn,David Thornton,Swept Away
Joshua Seftel,Action Comedy Thriller,Bashar Rahal,Sergej Trifunovic,Ned Bellamy,"War, Inc."
Stephen Chow,Action Comedy Sport,Wei Zhao,Karen Mok,Kwok-Kwan Chan,Shaolin Soccer
Vincent Gallo,Drama,Vincent Gallo,Cheryl Tiegs,Anna Vareschi,The Brown Bunny
Claude Chabrol,Comedy Crime Thriller,Isabelle Huppert,François Cluzet,Michel Serrault,The Swindle
Jon Stewart,Biography Drama,Numan Acar,Claire Foy,Haluk Bilginer,Rosewater
Bigas Luna,Drama Romance,Olivier Martinez,Aitana Sánchez-Gijón,Romane Bohringer,The Chambermaid on the Titanic
Ralph Fiennes,Drama Thriller War,Gerard Butler,Ashraf Barhom,Lubna Azabal,Coriolanus
Dan Harris,Comedy Drama,Kip Pardue,Ryan Donowho,Larry Fessenden,Imaginary Heroes
Mel Smith,Action Comedy Drama,Minnie Driver,Danny Dyer,Mary McCormack,High Heels and Low Lifes
Bobcat Goldthwait,Comedy Drama,Robin Williams,Daryl Sabara,Henry Simmons,World's Greatest Dad
Christopher Smith,Comedy Horror Thriller,Danny Dyer,Toby Stephens,Laura Harris,Severance
Stuart Gordon,Drama Thriller,Joe Mantegna,Dulé Hill,Jeffrey Combs,Edmond
Jake Scott,Drama,Kristen Stewart,Ally Sheedy,Kerry Cahill,Welcome to the Rileys
Alan Metter,Comedy Crime,Christopher Lee,Michael Winslow,G.W. Bailey,Police Academy: Mission to Moscow
Jeb Stuart,Drama,Ricky Schroder,Nate Parker,Lee Norris,Blood Done Sign My Name
Rafa Lara,Drama History War,Jorge Luis Moreno,Andrés Montiel,William Miller,"Cinco de Mayo, La Batalla"
Michael Radford,Comedy Drama Romance,Chris Noth,Jared Gilman,James Brolin,Elsa & Fred
Arthur Hiller,Comedy,Eric Idle,Harvey Weinstein,Ryan O'Neal,An Alan Smithee Film: Burn Hollywood Burn
Michael Meredith,Comedy Drama,Jeff Bridges,Justin Timberlake,Ted Danson,The Open Road
Julio DePietro,Comedy Romance,Adrian Martinez,Scott Porter,Aaron Yoo,The Good Guy
Katherine Dieckmann,Comedy Drama,Stephanie Szostak,Minnie Driver,Anthony Edwards,Motherhood
William Dear,Drama,Madison Pettis,Corbin Bleu,Sandra Echeverría,Free Style
Kim Farrant,Drama Mystery Thriller,Nicholas Hamilton,Reef Ireland,Sean Keenan,Strangerland
Marcus Raboy,Comedy Crime Music,Mike Epps,Tamala Jones,Glenn Plummer,The Janky Promoters
Scott Marshall,Comedy Romance,Drew Fuller,Drew Waters,Larry Miller,Blonde Ambition
Álex de la Iglesia,Crime Mystery Thriller,Jim Carter,Leonor Watling,Danny Sapani,The Oxford Murders
Andrew Traucki,Horror Thriller,Damian Walshe-Howling,Gyton Grantley,Adrienne Pickering,The Reef
Michael Clancy,Comedy Drama,Zooey Deschanel,Rip Torn,Kelly Preston,Eulogy
Patrick Lussier,Drama Fantasy Horror Thriller,Teryl Rothery,Craig Fairbrass,Adrian Holmes,White Noise 2: The Light
Robert Adetuyi,Drama Music,Shane Pollard,Mishael Morgan,Chase Armitage,You Got Served: Beat the World
