title,cast_and_crew,genre
A Dog's Journey,"Gail Mancuso (director); W. Bruce Cameron, Cathryn Michon, Wally Wolodarsky, Maya Forbes (screenplay); Dennis Quaid, Josh Gad, Marg Helgenberger, Betty Gilpin, Kathryn Prescott, Henry Lau","Adventure, Comedy, Drama"
The Sun Is Also a Star,"Ry Russo-Young (director); Tracy Oliver (screenplay); Yara Shahidi, Charles Melton, John Leguizamo","Drama, Music, Romance"
The Souvenir,"Joanna Hogg (director/screenplay); Honor Swinton Byrne, Tom Burke, Tilda Swinton, Richard Ayoade","Drama, Mystery, Romance"
The Tomorrow Man,"Noble Jones (director, screenplay); John Lithgow, Blythe Danner, Derek Cecil, Katie Aselton, Sophie Thatcher, Eve Harlow","Drama, Romance"
Aladdin,"Guy Ritchie (director/screenplay); John August (screenplay); Mena Massoud, Will Smith, Naomi Scott, Marwan Kenzari, Navid Negahban, Nasim Pedrad, Billy Magnussen, Numan Acar, Alan Tudyk, Frank Welker","Adventure, Comedy, Family"
Brightburn,"David Yarovesky (director); Brian Gunn, Mark Gunn (screenplay); Elizabeth Banks, David Denman, Jackson A. Dunn, Matt Jones, Meredith Hagner","Drama, Horror, Mystery"
Booksmart,"Olivia Wilde (director); Emily Halpern, Sarah Haskins, Katie Silberman, Susanna Fogel (screenplay); Kaitlyn Dever, Beanie Feldstein, Jessica Williams, Noah Galvin, Billie Lourd, Lisa Kudrow, Will Forte, Jason Sudeikis",Comedy
Always Be My Maybe,"Nahnatchka Khan (director); Ali Wong, Randall Park, Michael Golamco (screenplay); Ali Wong, Randall Park, Daniel Dae Kim, Keanu Reeves","Comedy, Romance"
Godzilla: King of the Monsters,"Michael Dougherty (director/screenplay); Zach Shields, Max Borenstein (screenplay); Kyle Chandler, Vera Farmiga, Millie Bobby Brown, Bradley Whitford, Sally Hawkins, Charles Dance, Thomas Middleditch, Aisha Hinds, O'Shea Jackson Jr., David Strathairn, Ken Watanabe, Zhang Ziyi","Action, Adventure, Fantasy"
Rocketman,"Dexter Fletcher (director); Lee Hall (screenplay); Taron Egerton, Jamie Bell, Richard Madden, Bryce Dallas Howard","Biography, Drama, Musical"
Ma,"Tate Taylor (director/screenplay); Scotty Landes (screenplay); Octavia Spencer, Juliette Lewis, Diana Silvers, McKaley Miller, Corey Fogelmanis, Luke Evans","Horror, Mystery, Thriller"
Dark Phoenix,"Simon Kinberg (director/screenplay); James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult, Sophie Turner, Tye Sheridan, Alexandra Shipp, Kodi Smit-McPhee, Evan Peters, Jessica Chastain","Action, Adventure, Sci-Fi"
The Secret Life of Pets 2,"Chris Renaud (director); Jonathan del Val (co-director); Brian Lynch (screenplay); Patton Oswalt, Eric Stonestreet, Kevin Hart, Jenny Slate, Tiffany Haddish, Lake Bell, Nick Kroll, Dana Carvey, Ellie Kemper, Chris Renaud, Hannibal Buress, Bobby Moynihan, Harrison Ford","Animation, Adventure, Comedy"
Late Night,"Nisha Ganatra (director); Mindy Kaling (screenplay); Emma Thompson, Mindy Kaling, Max Casella, Hugh Dancy, John Lithgow, Denis O'Hare, Reid Scott, Amy Ryan","Comedy, Drama"
The Last Black Man in San Francisco,"Joe Talbot (director/screenplay); Rob Richert (screenplay); Jimmie Fails, Jonathan Majors, Danny Glover, Tichina Arnold, Rob Morgan, Mike Epps, Finn Wittrock, Thora Birch",Drama
Changeland,"Seth Green (director/screenplay); Breckin Meyer, Macaulay Culkin, Brenda Song, Clare Grant, Randy Orton","Comedy, Drama"
Men in Black: International,"F. Gary Gray (director); Art Marcum and Matt Holloway (screenplay); Chris Hemsworth, Tessa Thompson, Kumail Nanjiani, Rebecca Ferguson, Rafe Spall, Les Twins, Emma Thompson, Liam Neeson","Action, Adventure, Comedy"
Shaft,"Tim Story (director); Kenya Barris, Alex Barnow (screenplay); Samuel L. Jackson, Jessie Usher, Richard Roundtree, Alexandra Shipp, Regina Hall, Matt Lauria, Titus Welliver, Method Man","Action, Comedy, Crime"
The Dead Don't Die,"Jim Jarmusch (director/screenplay); Bill Murray, Adam Driver, Tilda Swinton, Chloë Sevigny, Steve Buscemi, Caleb Landry Jones, Rosie Perez, Iggy Pop, Sara Driver, RZA, Selena Gomez, Carol Kane, Tom Waits","Comedy, Fantasy, Horror"
Murder Mystery,"Kyle Newacheck (director); James Vanderbilt (screenplay); Adam Sandler, Jennifer Aniston, Luke Evans, Gemma Arterton, Adeel Akhtar, Terence Stamp","Action, Comedy, Crime"
Plus One,"Jeff Chan, Andrew Rhymer (director/screenplay); Maya Erskine, Jack Quaid, Beck Bennett, Rosalind Chao, Perrey Reeves, Ed Begley Jr.","Comedy, Drama, Romance"
Toy Story 4,"Josh Cooley (director); Stephany Folsom, Andrew Stanton (screenplay); Tom Hanks, Tim Allen, Annie Potts, Tony Hale, Keegan-Michael Key, Jordan Peele, Madeleine McGraw, Christina Hendricks, Keanu Reeves, Ally Maki, Jay Hernandez, Lori Alan, Joan Cusack","Animation, Adventure, Comedy"
Anna,"Luc Besson (director); Luc Besson, Marc Shmuger (screenplay); Sasha Luss, Helen Mirren, Luke Evans, Cillian Murphy, Alexander Petrov","Action, Thriller"
Anna,"Luc Besson (director); Luc Besson, Marc Shmuger (screenplay); Sasha Luss, Helen Mirren, Luke Evans, Cillian Murphy, Alexander Petrov",Horror
Child's Play,"Lars Klevberg (director); Tyler Burton Smith (screenplay); Aubrey Plaza, Gabriel Bateman, Brian Tyree Henry, Mark Hamill","Drama, Horror, Sci-Fi"
Annabelle Comes Home,"Gary Dauberman (director/screenplay); Mckenna Grace, Madison Iseman, Katie Sarife, Patrick Wilson, Vera Farmiga","Horror, Mystery, Thriller"
Yesterday,"Danny Boyle (director); Richard Curtis (screenplay); Himesh Patel, Lily James, Ed Sheeran, Kate McKinnon","Comedy, Fantasy, Music"
Killers Anonymous,"Martin Owen (director/screenplay); Elizabeth Morris, Seth Johnson (screenplay); Tommy Flanagan, Rhyon Nicole Brown, Jessica Alba, Gary Oldman","Action, Crime, Mystery"
Escape Plan: The Extractors,"John Herzfeld (director); John Herzfeld, Miles Chapman (screenplay); Sylvester Stallone, Curtis Jackson, Dave Bautista","Action, Crime, Thriller"
Midsommar,"Ari Aster (director/screenplay); Florence Pugh, Jack Reynor, William Jackson Harper, Vilhelm Blomgren, Will Poulter","Drama, Horror, Mystery"
Stuber,"Michael Dowse (director); Tripper Clancy (screenplay); Kumail Nanjiani, Dave Bautista, Iko Uwais, Natalie Morales, Betty Gilpin, Jimmy Tatro, Mira Sorvino, Karen Gillan","Action, Comedy, Crime"
Crawl,"Alexandre Aja (director); Shawn Rasmussen, Michael Rasmussen (screenplay); Kaya Scodelario, Barry Pepper","Action, Horror, Thriller"
Point Blank,"Joe Lynch (director); Adam G. Simon (screenplay); Frank Grillo, Anthony Mackie, Marcia Gay Harden, Teyonah Parris","Action, Crime, Drama"
The Farewell,"Lulu Wang (director/screenplay); Awkwafina, Tzi Ma, Diana Lin, Zhao Shuzhen","Comedy, Drama"
Darlin',"Pollyanna Mcintosh (director/screenplay); Pollyanna McIntosh, Cooper Andrews, Nora-Jane Noone, Bryan Batt","Horror, Thriller"
The Lion King,"Jon Favreau (director); Jeff Nathanson (screenplay); Donald Glover, Seth Rogen, Chiwetel Ejiofor, Alfre Woodard, Billy Eichner, John Kani, John Oliver, Beyoncé Knowles-Carter, James Earl Jones","Animation, Adventure, Drama"
The Red Sea Diving Resort,"Gideon Raff (director/screenplay); Chris Evans, Haley Bennett, Michael K. Williams, Michiel Huisman, Alessandro Nivola, Greg Kinnear, Ben Kingsley","Drama, History, Thriller"
Fast & Furious Presents: Hobbs & Shaw,"David Leitch (director); Chris Morgan, Drew Pearce (screenplay); Dwayne Johnson, Jason Statham, Idris Elba, Vanessa Kirby, Eiza González, Cliff Curtis, Helen Mirren","Action, Adventure, Thriller"
A Score to Settle,"Shawn Ku (director); John Stuart Newman, Christian Swegal (screenplay); Nicolas Cage, Benjamin Bratt","Action, Thriller"
The Operative,"Yuval Adler (director/screenplay); Diane Kruger, Martin Freeman, Cas Anvar","Action, Drama, Mystery"
Dora and the Lost City of Gold,"James Bobin (director); Nicholas Stoller, Matthew Robinson (screenplay); Isabela Moner, Eugenio Derbez, Michael Peña, Eva Longoria, Temuera Morrison, Danny Trejo, Benicio del Toro","Action, Adventure, Comedy"
The Kitchen,"Andrea Berloff (director/screenplay); Melissa McCarthy, Tiffany Haddish, Elisabeth Moss, Domhnall Gleeson, James Badge Dale, Brian d'Arcy James, Margo Martindale, Common, Bill Camp","Action, Crime, Drama"
The Art of Racing in the Rain,"Simon Curtis (director); Mark Bomback (screenplay); Milo Ventimiglia, Amanda Seyfried, Kathy Baker, Martin Donovan, Gary Cole, Kevin Costner","Comedy, Drama, Romance"
Scary Stories to Tell in the Dark,"André Øvredal (director); Dan Hageman, Kevin Hageman (screenplay); Zoe Colletti, Michael Garza, Gabriel Rush, Austin Zajur, Natalie Ganzhorn, Austin Abrams, Dean Norris, Gil Bellows, Lorraine Toussaint","Adventure, Horror, Mystery"
The Peanut Butter Falcon,"Tyler Nilson, Michael Schwartz (director/screenplay); Shia LaBeouf, Dakota Johnson, John Hawkes, Bruce Dern, Jon Bernthal, Thomas Haden Church","Adventure, Comedy, Drama"
After the Wedding,"Bart Freundlich (director/screenplay); Michelle Williams, Julianne Moore, Billy Crudup, Abby Quinn",Drama
Light of My Life,"Casey Affleck (director/screenplay); Casey Affleck, Anna Pniowsky, Tom Bower, Elisabeth Moss","Drama, Sci-Fi, Thriller"
The Angry Birds Movie 2,"Thurop Van Orman (director), John Rice (co-director); Peter Ackerman, Eyal Podell, Jonathon E. Stewart (screenplay); Jason Sudeikis, Josh Gad, Leslie Jones, Bill Hader, Rachel Bloom, Awkwafina, Sterling K. Brown, Eugenio Derbez, Danny McBride, Peter Dinklage","Animation, Action, Adventure"
Good Boys,"Gene Stupnitsky (director/screenplay); Lee Eisenberg (screenplay); Jacob Tremblay, Brady Noon, Keith L. Williams, Molly Gordon, Midori Francis, Will Forte, Lil Rel Howery, Retta","Adventure, Comedy"
Blinded by the Light,"Gurinder Chadha (director/screenplay); Paul Mayeda Berges, Sarfraz Manzoor (screenplay); Viveik Kalra, Kulvinder Ghir, Meera Ganatra, Nell Williams, Aaron Phagura, Dean-Charles Chapman","Comedy, Drama, Music"
"Where'd You Go, Bernadette","Richard Linklater (director/screenplay); Holly Gent, Vincent Palmo Jr. (screenplay); Cate Blanchett, Billy Crudup, Emma Nelson, Kristen Wiig, James Urbaniak, Judy Greer, Troian Bellisario, Zoë Chao, Laurence Fishburne","Comedy, Drama"
47 Meters Down: Uncaged,"Johannes Roberts (director/screenplay); Ernest Riera (screenplay); John Corbett, Nia Long, Sophie Nelisse, Corinne Foxx, Sistine Stallone, Brianne Tju, Davi Santos, Khylin Rhambo, Brec Bassinger","Adventure, Drama, Horror"
Ready or Not,"Matt Bettinelli-Olpin, Tyler Gillett (director); Guy Busick, R. Christopher Murphy (screenplay); Samara Weaving, Adam Brody, Mark O'Brien, Henry Czerny, Andie MacDowell","Action, Comedy, Horror"
Angel Has Fallen,"Ric Roman Waugh (director); Creighton Rothenberger, Katrin Benedikt (screenplay); Gerard Butler, Morgan Freeman, Jada Pinkett Smith, Nick Nolte, Lance Reddick, Danny Huston, Tim Blake Nelson","Action, Thriller"
Brittany Runs a Marathon,"Paul Downs Colaizzo (director/screenplay); Jillian Bell, Michaela Watkins, Utkarsh Ambudkar, Lil Rel Howery, Micah Stock","Comedy, Drama"
Overcomer,"Alex Kendrick (director/screenplay); Stephen Kendrick (screenplay); Alex Kendrick, Priscilla Shirer, Ben Davies, Shari Rigby, Jack Sterner","Drama, Family, Sport"
Jacob's Ladder,"David M. Rosenthal (director); Jeff Buhler, Sarah Thorp (screenplay); Michael Ealy, Jesse Williams, Nicole Beharie","Horror, Thriller"
Burn,"Mike Gan (director/screenplay); Tilda Cobham-Hervey, Suki Waterhouse, Harry Shum Jr., Shiloh Fernandez, Josh Hutcherson","Comedy, Crime, Thriller"
Official Secrets,"Gavin Hood (director/screenplay); Gregory Bernstein, Sara Bernstein (screenplay); Keira Knightley, Matt Smith, Matthew Goode, Adam Bakri, Rhys Ifans, Ralph Fiennes","Biography, Crime, Drama"
Don't Let Go,"Jacob Aaron Estes (director); Jacob Aaron Estes (screenplay); Jacob Aaron Estes, Drew Daywalt (story); David Oyelowo, Storm Reid, Byron Mann, Mykelti Williamson","Drama, Horror, Mystery"
Itsy Bitsy,"Micah Gallo (director); Jason Alvino, Byran Dick, Micah Gallo (screenplay); Bruce Davison, Denise Crosby, Elizabeth Roberts, Arman Darbo, Treva Etienne, Eileen Dietz, Grace Shen","Fantasy, Horror, Mystery"
The Fanatic,"Fred Durst (director/screenplay), Dave Bekerman (screenplay); John Travolta, Devon Sawa, Ana Golja, Jacob Grodnik, James Paxton, Jeff Chase, Luis Da Silva","Crime, Thriller"
It Chapter Two,"Andy Muschietti (director); Gary Dauberman (screenplay); James McAvoy, Jessica Chastain, Bill Hader, Isaiah Mustafa, Jay Ryan, James Ransone, Andy Bean, Jaeden Martell, Sophia Lillis, Finn Wolfhard, Chosen Jacobs, Jeremy Ray Taylor, Jack Dylan Grazer, Wyatt Oleff, Bill Skarsgård","Drama, Fantasy, Horror"
Satanic Panic,"Chelsea Stardust (director); Grady Hendrix (screenplay); Hayley Griffith, Ruby Modine, Arden Myrin, A. J. Bowen, Jordan Ladd, Rebecca Romijn, Jerry O'Connell, Hannah Stocking","Comedy, Horror"
The Obituary of Tunde Johnson,"Ali LeRoi (director); Stanley Kalu (screenplay); Steven Silver, Nicola Peltz",Drama
The Goldfinch,"John Crowley (director); Peter Straughan (screenplay); Ansel Elgort, Oakes Fegley, Aneurin Barnard, Finn Wolfhard, Sarah Paulson, Luke Wilson, Jeffrey Wright, Nicole Kidman",Drama
Hustlers,"Lorene Scafaria (director/screenplay); Constance Wu, Jennifer Lopez, Julia Stiles, Keke Palmer, Lili Reinhart, Lizzo, Cardi B","Comedy, Crime, Drama"
The Sound of Silence,"Michael Tyburski (director/screenplay); Ben Nabors (screenplay); Rashida Jones, Peter Sarsgaard, Tony Revolori, Austin Pendleton",Drama
Monos,"Alejandro Landes (director); Alejandro Landes, Alexis Dos Santos (screenplay); Julianne Nicholson, Moisés Arias","Adventure, Drama, Thriller"
Tall Girl,"Nzingha Stewart (director); Sam Wolfson (screenplay); Ava Michelle, Griffin Gluck, Luke Eisner, Sabrina Carpenter, Paris Berelc","Comedy, Drama, Family"
Ad Astra,"James Gray (director/screenplay); Ethan Gross (screenplay); Brad Pitt, Tommy Lee Jones, Ruth Negga, Liv Tyler, Donald Sutherland, John Ortiz, Lisa Gay Hamilton, Freda Foh Shen, Natasha Lyonne","Adventure, Drama, Mystery"
Downton Abbey,"Michael Engler (director); Julian Fellowes (screenplay); Hugh Bonneville, Jim Carter, Michelle Dockery, Elizabeth McGovern, Maggie Smith, Imelda Staunton, Penelope Wilton","Drama, Romance"
Rambo: Last Blood,"Adrian Grunberg (director); Sylvester Stallone, Matt Cirulnick (screenplay); Sylvester Stallone, Adriana Barraza, Paz Vega, Yvette Monreal, Sergio Peris-Mencheta, Oscar Jaenada, Joaquín Cosío","Action, Thriller"
Running with the Devil,"Jason Cabell (director/screenplay); Nicolas Cage, Laurence Fishburne","Crime, Drama, Thriller"
Fractured,"Brad Anderson (director); Alan B. McElroy (screenplay); Sam Worthington, Lily Rabe, Stephen Tobolowsky","Mystery, Thriller"
Abominable,"Jill Culton (director/screenplay); Todd Wilderman (co-director); Chloe Bennet, Albert Tsai, Tenzing Norgay Trainor, Eddie Izzard, Sarah Paulson","Animation, Adventure, Comedy"
The Laundromat,"Steven Soderbergh (director); Scott Z. Burns (screenplay); Meryl Streep, Gary Oldman, Antonio Banderas, Jeffrey Wright, Robert Patrick, David Schwimmer, Sharon Stone","Comedy, Crime, Drama"
Judy,"Rupert Goold (director); Tom Edge (screenplay); Renée Zellweger, Jessie Buckley, Finn Wittrock, Rufus Sewell, Michael Gambon","Biography, Drama, Romance"
Prey,"Franck Khalfoun (director); David Coggeshall, Franck Khalfoun (screenplay); Logan Miller, Kristine Froseth","Adventure, Horror, Mystery"
Joker,"Todd Phillips (director/screenplay); Scott Silver (screenplay); Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Glenn Fleshler, Bill Camp, Shea Whigham, Marc Maron","Crime, Drama, Thriller"
Lucy in the Sky,"Noah Hawley (director/screenplay); Brian C. Brown, Elliott DiGuiseppi (screenplay); Natalie Portman, Jon Hamm, Zazie Beetz, Dan Stevens, Colman Domingo, Ellen Burstyn","Drama, Romance, Sci-Fi"
Dolemite Is My Name,"Craig Brewer (director); Scott Alexander and Larry Karaszewski (screenplay); Eddie Murphy, Keegan-Michael Key, Mike Epps, Craig Robinson, Tituss Burgess, Da'Vine Joy Randolph, Wesley Snipes","Biography, Comedy, Drama"
In the Tall Grass,"Vincenzo Natali (director/screenplay); Patrick Wilson, Harrison Gilbertson, Rachel Wilson","Horror, Mystery, Sci-Fi"
Low Tide,"Kevin McMullin (director/screenplay); Keean Johnson, Jaeden Martell, Alex Neustaedter, Kristine Froseth, Shea Whigham","Drama, Thriller"
Little Monsters,"Abe Forsythe (director/screenplay); Lupita Nyong'o, Alexander England, Josh Gad","Comedy, Horror, Sci-Fi"
Gemini Man,"Ang Lee (director); David Benioff, Billy Ray, Darren Lemke (screenplay); Will Smith, Mary Elizabeth Winstead, Clive Owen, Benedict Wong","Action, Adventure, Sci-Fi"
The Addams Family,"Conrad Vernon, Greg Tiernan (directors); Matt Lieberman, Pamela Pettler (screenplay); Oscar Isaac, Charlize Theron, Chloë Grace Moretz, Finn Wolfhard, Nick Kroll, Snoop Dogg, Bette Midler, Allison Janney","Animation, Comedy, Family"
The King,"David Michôd (director/screenplay); Joel Edgerton (screenplay); Timothée Chalamet, Joel Edgerton, Sean Harris, Lily-Rose Depp, Robert Pattinson, Ben Mendelsohn","Biography, Drama, History"
Jexi,"Jon Lucas, Scott Moore (directors/screenplay); Adam Devine, Rose Byrne, Alexandra Shipp, Ron Funches, Charlyne Yi, Wanda Sykes, Justin Hartley, Kid Cudi, Michael Peña","Comedy, Romance, Sci-Fi"
Polaroid,"Lars Klevberg (director); Blair Butler (screenplay); Kathryn Prescott, Grace Zabriskie, Samantha Logan, Tyler Young, Javier Botet, Katie Stevens, Madelaine Petsch","Drama, Horror, Mystery"
El Camino: A Breaking Bad Movie,"Vince Gilligan (director/screenplay); Aaron Paul, Jesse Plemons, Scott MacArthur, Scott Shepherd, Charles Baker, Matt Jones, Robert Forster","Action, Crime, Drama"
Maleficent: Mistress of Evil,"Joachim Rønning (director); Linda Woolverton, Noah Harpster, Micah Fitzerman-Blue (screenplay); Angelina Jolie, Elle Fanning, Michelle Pfeiffer, Chiwetel Ejiofor, Sam Riley, Harris Dickinson, Ed Skrein, Imelda Staunton, Juno Temple, Lesley Manville","Adventure, Family, Fantasy"
Zombieland: Double Tap,"Ruben Fleischer (director); Rhett Reese, Paul Wernick, David Callaham (screenplay); Woody Harrelson, Jesse Eisenberg, Emma Stone, Abigail Breslin, Rosario Dawson, Zoey Deutch, Luke Wilson","Action, Comedy, Horror"
Jojo Rabbit,"Taika Waititi (director/screenplay); Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson, Taika Waititi, Rebel Wilson, Stephen Merchant, Alfie Allen, Sam Rockwell","Comedy, Drama, War"
The Lighthouse,"Robert Eggers (director/screenplay); Max Eggers (screenplay); Willem Dafoe, Robert Pattinson","Drama, Fantasy, Horror"
Wounds,"Babak Anvari (director/screenplay); Armie Hammer, Dakota Johnson, Zazie Beetz","Drama, Horror, Mystery"
Black and Blue,"Deon Taylor (director); Peter A. Dowling (screenplay); Naomie Harris, Tyrese Gibson, Frank Grillo, Mike Colter, Reid Scott, Beau Knapp","Action, Thriller"
Countdown,"Justin Dec (director/screenplay); Elizabeth Lail, Peter Facinelli, Anne Winters, Talitha Bateman, Tichina Arnold, P. J. Byrne","Horror, Thriller"
The Kill Team,"Dan Krauss (director); Nat Wolff, Alexander Skarsgård","Action, Biography, Drama"
The Gallows Act II,"Chris Lofing, Travis Cluff (director/screenplay); Chris Milligan, Ema Horvath, Brittany Falardeau","Horror, Mystery, Thriller"
Terminator: Dark Fate,"Tim Miller (director); David S. Goyer, Justin Rhodes, Billy Ray (screenplay); Linda Hamilton, Arnold Schwarzenegger, Mackenzie Davis, Natalia Reyes, Gabriel Luna, Diego Boneta","Action, Adventure, Sci-Fi"
Motherless Brooklyn,"Edward Norton (director/screenplay); Edward Norton, Bruce Willis, Gugu Mbatha-Raw, Bobby Cannavale, Cherry Jones, Alec Baldwin, Willem Dafoe","Crime, Drama, Mystery"
The Irishman,"Martin Scorsese (director); Steven Zaillian (screenplay); Robert De Niro, Al Pacino, Joe Pesci, Ray Romano, Bobby Canavale, Anna Paquin, Stephen Graham, Stephanie Kurtzuba, Jesse Plemons, Harvey Keitel","Biography, Crime, Drama"
Harriet,"Kasi Lemmons (director/screenplay); Gregory Allen Howard (screenplay); Cynthia Erivo, Leslie Odom Jr., Joe Alwyn, Janelle Monáe","Action, Biography, Drama"
Marriage Story,"Noah Baumbach (director/screenplay); Scarlett Johansson, Adam Driver, Laura Dern, Alan Alda, Ray Liotta, Julie Hagerty, Merritt Wever","Comedy, Drama, Romance"
Doctor Sleep,"Mike Flanagan (director/screenplay); Ewan McGregor, Rebecca Ferguson, Kyliegh Curran, Cliff Curtis, Carl Lumbly, Zahn McClarnon, Emily Alyn Lind, Bruce Greenwood, Jocelin Donahue","Drama, Fantasy, Horror"
Last Christmas,"Paul Feig (director), Emma Thompson, Bryony Kimmings (screenplay); Emilia Clarke, Henry Golding, Michelle Yeoh, Emma Thompson","Comedy, Drama, Fantasy"
Playing with Fire,"Andy Fickman (director); Dan Ewen, Matt Lieberman (screenplay); John Cena, Keegan-Michael Key, John Leguizamo, Brianna Hildebrand, Dennis Haysbert, Judy Greer","Comedy, Family"
Let It Snow,"Luke Snellin (director); Laura Solon, Victoria Strouse, Kay Cannon (screenplay); Isabela Merced, Shameik Moore, Kiernan Shipka, Odeya Rush, Liv Hewson, Mitchell Hope, Jacob Batalon, Joan Cusack","Comedy, Romance"
Midway,"Roland Emmerich (director); Wes Tooke (screenplay); Ed Skrein, Patrick Wilson, Luke Evans, Aaron Eckhart, Nick Jonas, Mandy Moore, Dennis Quaid, Woody Harrelson","Action, Drama, History"
Klaus,"Sergio Pablos (director); Zach Lewis, Jim Mahoney (screenplay); J. K. Simmons, Jason Schwartzman, Rashida Jones, Will Sasso, Neda Margrethe Labba, Sergio Pablos, Norm Macdonald, Joan Cusack","Animation, Adventure, Comedy"
Honey Boy,"Alma Har'el (director); Shia LaBeouf (screenplay); Shia LaBeouf, Lucas Hedges, Noah Jupe, FKA Twigs",Drama
Lady and the Tramp,"Charlie Bean (director); Andrew Bujalski, Kari Granlund (screenplay); Tessa Thompson, Justin Theroux, Kiersey Clemons, Thomas Mann, Janelle Monáe, F. Murray Abraham, Yvette Nicole Brown, Adrian Martinez, Ken Jeong, Sam Elliott","Adventure, Comedy, Family"
Noelle,"Marc Lawrence (director/screenplay); Anna Kendrick, Bill Hader, Kingsley Ben-Adir, Billy Eichner, Julie Hagerty, Shirley MacLaine","Adventure, Comedy, Family"
Ford v Ferrari,"James Mangold (director); Jez Butterworth, John-Henry Butterworth, Jason Keller (screenplay); Matt Damon, Christian Bale, Jon Bernthal, Caitriona Balfe, Tracy Letts, Josh Lucas, Noah Jupe, Remo Girone, Ray McKinnon","Action, Biography, Drama"
Charlie's Angels,"Elizabeth Banks (director/screenplay); Kristen Stewart, Naomi Scott, Ella Balinska, Elizabeth Banks, Djimon Hounsou, Sam Claflin, Noah Centineo, Nat Faxon, Patrick Stewart","Action, Adventure, Comedy"
The Good Liar,"Bill Condon (director); Jeffrey Hatcher (screenplay); Ian McKellen, Helen Mirren, Russell Tovey, Jim Carter","Crime, Drama, Mystery"
The Report,"Scott Z. Burns (director/screenplay); Adam Driver, Annette Bening, Ted Levine, Michael C. Hall, Tim Blake Nelson, Corey Stoll, Maura Tierney, Jon Hamm","Biography, Crime, Drama"
Waves,"Trey Edward Shults (director/screenplay); Kelvin Harrison Jr., Lucas Hedges, Taylor Russell, Alexa Demie, Renée Elise Goldsberry, Sterling K. Brown","Drama, Romance, Sport"
Frozen II,"Chris Buck, Jennifer Lee (directors); Jennifer Lee (screenplay); Idina Menzel, Kristen Bell, Jonathan Groff, Josh Gad, Sterling K. Brown, Evan Rachel Wood, Alfred Molina, Martha Plimpton, Jason Ritter, Rachel Matthews, Jeremy Sisto, Ciarán Hinds","Animation, Adventure, Comedy"
A Beautiful Day in the Neighborhood,"Marielle Heller (director); Micah Fitzerman-Blue, Noah Harpster (screenplay); Tom Hanks, Matthew Rhys, Susan Kelechi Watson, Chris Cooper","Biography, Drama"
21 Bridges,"Brian Kirk (director); Matthew Michael Carnahan, Adam Mervis (screenplay); Chadwick Boseman, Sienna Miller, Stephan James, Keith David, Taylor Kitsch, J.K. Simmons","Action, Thriller"
Dark Waters,"Todd Haynes (director); Mario Correa, Matthew Michael Carnahan (screenplay); Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Camp, Victor Garber, Mare Winningham, William Jackson Harper, Bill Pullman","Biography, Drama, History"
Knives Out,"Rian Johnson (director/screenplay); Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis, Michael Shannon, Don Johnson, Toni Collette, Lakeith Stanfield, Katherine Langford, Jaeden Martell, Christopher Plummer","Comedy, Crime, Drama"
Queen & Slim,"Melina Matsoukas (director); Lena Waithe (screenplay); Daniel Kaluuya, Jodie Turner-Smith, Bokeem Woodbine, Chloë Sevigny, Flea, Sturgill Simpson, Indya Moore","Crime, Drama, Romance"
The Two Popes,"Fernando Meirelles (director); Anthony McCarten (screenplay); Anthony Hopkins, Jonathan Pryce","Comedy, Drama"
Playmobil: The Movie,"Lino DiSalvo (director), Ramaa Mosley (co-director); Blaise Hemingway (screenplay); Anya Taylor-Joy, Daniel Radcliffe, Gabriel Bateman, Jim Gaffigan, Meghan Trainor, Adam Lambert","Animation, Adventure, Comedy"
The Aeronauts,"Tom Harper (director); Jack Thorne (screenplay); Felicity Jones, Eddie Redmayne, Himesh Patel, Tom Courtenay","Action, Adventure, Drama"
Daniel Isn't Real,"Adam Egypt Mortimer (director/screenplay); Brian DeLeeuw (screenplay); Miles Robbins, Patrick Schwarzenegger, Sasha Lane, Mary Stuart Masterson, Hannah Marks, Chukwudi Iwuji, Peter McRobbie","Crime, Drama, Fantasy"
Jumanji: The Next Level,"Jake Kasdan (director/screenplay); Scott Rosenberg, Jeff Pinkner (screenplay); Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan, Nick Jonas, Awkwafina, Rory McCann, Alex Wolff, Morgan Turner, Ser'Darius Blain, Madison Iseman, Danny Glover, Danny DeVito","Action, Adventure, Comedy"
Richard Jewell,"Clint Eastwood (director); Billy Ray (screenplay); Paul Walter Hauser, Sam Rockwell, Kathy Bates, Jon Hamm, Olivia Wilde","Biography, Crime, Drama"
Black Christmas,"Sophia Takal (director/screenplay); April Wolfe (screenplay); Imogen Poots, Lily Donoghue, Aleyse Shannon, Brittany O'Grady, Caleb Eberhardt, Cary Elwes","Horror, Mystery, Thriller"
6 Underground,"Michael Bay (director); Rhett Reese, Paul Wernick (screenplay); Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Adria Arjona, Payman Maadi, Corey Hawkins, Ben Hardy, Dave Franco","Action, Thriller"
